table_schema,table_name,column_id,column_name,system_type,data_type_display,max_length,precision,scale,is_nullable,is_identity,is_computed,default_definition,collation_name
dbo,quality_document_acks,1,document_id,uniqueidentifier,uniqueidentifier,16,0,0,0,0,0,NULL,NULL
dbo,quality_document_acks,2,member_id,nvarchar,nvarchar(50),100,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,quality_document_acks,3,ack_at,datetime2,datetime2(7),8,27,7,0,0,0,(sysutcdatetime()),NULL
dbo,quality_document_acks,4,created_at,datetime2,datetime2(7),8,27,7,0,0,0,(sysutcdatetime()),NULL
dbo,quality_document_acks,5,ack_type,nvarchar,nvarchar(20),40,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,quality_documents,1,document_id,uniqueidentifier,uniqueidentifier,16,0,0,0,0,0,(newsequentialid()),NULL
dbo,quality_documents,2,title,nvarchar,nvarchar(200),400,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,quality_documents,3,document_type,nvarchar,nvarchar(30),60,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,quality_documents,4,issued_at,datetime2,datetime2(7),8,27,7,0,0,0,NULL,NULL
dbo,quality_documents,5,publisher_member_id,nvarchar,nvarchar(50),100,0,0,1,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,quality_documents,6,status,nvarchar,nvarchar(20),40,0,0,0,0,0,(N'ISSUED'),SQL_Latin1_General_CP1_CI_AS
dbo,quality_documents,7,created_at,datetime2,datetime2(7),8,27,7,0,0,0,(sysutcdatetime()),NULL
dbo,quality_documents,8,updated_at,datetime2,datetime2(7),8,27,7,0,0,0,(sysutcdatetime()),NULL
dbo,report_jobs,1,job_id,uniqueidentifier,uniqueidentifier,16,0,0,0,0,0,(newsequentialid()),NULL
dbo,report_jobs,2,report_type,nvarchar,nvarchar(50),100,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,report_jobs,3,requested_by_member_id,nvarchar,nvarchar(50),100,0,0,1,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,report_jobs,4,status,nvarchar,nvarchar(20),40,0,0,0,0,0,(N'QUEUED'),SQL_Latin1_General_CP1_CI_AS
dbo,report_jobs,5,requested_at,datetime2,datetime2(7),8,27,7,0,0,0,(sysutcdatetime()),NULL
dbo,report_jobs,6,completed_at,datetime2,datetime2(7),8,27,7,1,0,0,NULL,NULL
dbo,report_jobs,7,output_file_id,uniqueidentifier,uniqueidentifier,16,0,0,1,0,0,NULL,NULL
dbo,report_jobs,8,error_message,nvarchar,nvarchar(1000),2000,0,0,1,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,upload_files,1,file_id,uniqueidentifier,uniqueidentifier,16,0,0,0,0,0,NULL,NULL
dbo,upload_files,2,domain_key,nvarchar,nvarchar(100),200,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,upload_files,3,storage_path,nvarchar,nvarchar(500),1000,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,upload_files,4,original_name,nvarchar,nvarchar(255),510,0,0,0,0,0,NULL,SQL_Latin1_General_CP1_CI_AS
dbo,upload_files,5,created_at,datetime2,datetime2(7),8,27,7,0,0,0,(sysutcdatetime()),NULL
